cfb_school,nces_name,processed_date,latitude,longitude
Montana,The University of Montana,2025-10-24T01:07:19.903300,46.859312,-113.982912
Montana State,Montana State University,2025-10-24T01:07:19.903300,45.666726,-111.048812
Morgan State,Morgan State University,2025-10-24T01:07:19.903300,39.344161,-76.585565
Murray State,Murray State University,2025-10-24T01:07:19.903300,36.612419,-88.323629
NC State,North Carolina State University at Raleigh,2025-10-24T01:07:19.903300,35.785111,-78.674517
Navy,United States Naval Academy,2025-10-24T01:07:19.903300,38.980507,-76.481692
Nebraska,University of Nebraska-Lincoln,2025-10-24T01:07:19.903300,40.817598,-96.700508
Nevada,University of Nevada-Reno,2025-10-24T01:07:19.903300,39.543642,-119.815377
New Hampshire,University of New Hampshire-Main Campus,2025-10-24T01:07:19.903300,43.135934,-70.932465
New Mexico,University of New Mexico-Main Campus,2025-10-24T01:07:19.903300,35.083868,-106.620155
New Mexico State,New Mexico State University-Main Campus,2025-10-24T01:07:19.903300,32.281568,-106.752069
Nicholls State,Nicholls State University,2025-10-24T01:07:19.903300,29.794486,-90.801571
Norfolk State,Norfolk State University,2025-10-24T01:07:19.903300,36.848429,-76.261375
North Alabama,University of North Alabama,2025-10-24T01:07:19.903300,34.806738,-87.681361
North Carolina,University of North Carolina at Chapel Hill,2025-10-24T01:07:19.903300,35.911769,-79.050969
North Carolina A&T,North Carolina A & T State University,2025-10-24T01:07:19.903300,36.07282,-79.773375
North Carolina Central,North Carolina Central University,2025-10-24T01:07:19.903300,35.974237,-78.898602
North Dakota,University of North Dakota,2025-10-24T01:07:19.903300,47.921654,-97.071738
North Dakota State,North Dakota State University-Main Campus,2025-10-24T01:07:19.903300,46.893127,-96.800838
North Texas,University of North Texas,2025-10-24T01:07:19.903300,33.211178,-97.148422
Northeastern,Northeastern University,2025-10-24T01:07:19.903300,42.339992,-71.088782
Northern Arizona,Northern Arizona University,2025-10-24T01:07:19.903300,35.188449,-111.653724
Northern Colorado,University of Northern Colorado,2025-10-24T01:07:19.903300,40.410855,-104.692777
Northern Illinois,Northern Illinois University,2025-10-24T01:07:19.903300,41.933869,-88.766428
Northern Iowa,University of Northern Iowa,2025-10-24T01:07:19.903300,42.514923,-92.459703
Northwestern,Northwestern University,2025-10-24T01:07:19.903300,42.050356,-87.679858
Northwestern Oklahoma State,Northwestern Oklahoma State University,2025-10-24T01:07:19.903300,36.796658,-98.667673
Northwestern State,Northwestern State University of Louisiana,2025-10-24T01:07:19.903300,31.750666,-93.097797
Notre Dame,University of Notre Dame,2025-10-24T01:07:19.903300,41.703058,-86.238959
Ohio,Ohio University-Main Campus,2025-10-24T01:07:19.903300,39.326798,-82.100985
Ohio State,Ohio State University-Main Campus,2025-10-24T01:07:19.903300,39.999324,-83.014853
Oklahoma,University of Oklahoma-Norman Campus,2025-10-24T01:07:19.903300,35.209407,-97.444211
Oklahoma State,Oklahoma State University-Main Campus,2025-10-24T01:07:19.903300,36.123085,-97.069743
Old Dominion,Old Dominion University,2025-10-24T01:07:19.903300,36.886418,-76.30666
Ole Miss,University of Mississippi,2025-10-24T01:07:19.903300,34.365529,-89.537434
Oregon,University of Oregon,2025-10-24T01:07:19.903300,44.045146,-123.075792
Oregon State,Oregon State University,2025-10-24T01:07:19.903300,44.56395,-123.274723
Penn State,Pennsylvania State University-Main Campus,2025-10-24T01:07:19.903300,40.7965,-77.862848
Pittsburgh,University of Pittsburgh-Pittsburgh Campus,2025-10-24T01:07:19.903300,40.444388,-79.953254
Portland State,Portland State University,2025-10-24T01:07:19.903300,45.511601,-122.686289
Prairie View A&M,Prairie View A & M University,2025-10-24T01:07:19.903300,30.092425,-95.989475
Presbyterian,Presbyterian College,2025-10-24T01:07:19.903300,34.465834,-81.87448
Purdue,Purdue University-Main Campus,2025-10-24T01:07:19.903300,40.428206,-86.914435
Rhode Island,University of Rhode Island,2025-10-24T01:07:19.903300,41.484691,-71.527356
Rice,Rice University,2025-10-24T01:07:19.903300,29.717897,-95.402035
Richmond,University of Richmond,2025-10-24T01:07:19.903300,37.577393,-77.538806
Robert Morris,Robert Morris University,2025-10-24T01:07:19.903300,40.520415,-80.210468
Rutgers,Rutgers University-New Brunswick,2025-10-24T01:07:19.903300,40.498769,-74.446251
SE Missouri State,Southeast Missouri State University,2025-10-24T01:07:19.903300,37.311107,-89.531187
SMU,Southern Methodist University,2025-10-24T01:07:19.903300,32.843612,-96.783365
Sacramento State,California State University-Sacramento,2025-10-24T01:07:19.903300,38.559415,-121.423549
Sacred Heart,Sacred Heart University,2025-10-24T01:07:19.903300,41.220893,-73.243332
Sam Houston State,Sam Houston State University,2025-10-24T01:07:19.903300,30.714738,-95.546205
Samford,Samford University,2025-10-24T01:07:19.903300,33.464128,-86.791799
San Diego,San Diego State University,2025-10-24T01:07:19.903300,32.77525,-117.071228
San Diego State,San Diego State University,2025-10-24T01:07:19.903300,32.77525,-117.071228
San Jose State,San Jose State University,2025-10-24T01:07:19.903300,37.336569,-121.880621
Savannah State,Savannah State University,2025-10-24T01:07:19.903300,32.024781,-81.063377
South Alabama,University of South Alabama,2025-10-24T01:07:19.903300,30.696033,-88.178711
South Carolina,University of South Carolina-Columbia,2025-10-24T01:07:19.903300,33.996788,-81.026935
South Carolina State,South Carolina State University,2025-10-24T01:07:19.903300,33.497968,-80.848722
South Dakota,University of South Dakota,2025-10-24T01:07:19.903300,42.786019,-96.925283
South Dakota State,South Dakota State University,2025-10-24T01:07:19.903300,44.317485,-96.782139
Southeastern Louisiana,Southeastern Louisiana University,2025-10-24T01:07:19.903300,30.514652,-90.468676
Southern,Southern University and A & M College,2025-10-24T01:07:19.903300,30.524558,-91.190105
Southern Illinois,Southern Illinois University-Carbondale,2025-10-24T01:07:19.903300,37.714193,-89.217273
Southern Miss,University of Southern Mississippi,2025-10-24T01:07:19.903300,31.32661,-89.331236
Southern Utah,Southern Utah University,2025-10-24T01:07:19.903300,37.674617,-113.070146
St. Francis (PA),Saint Francis University,2025-10-24T01:07:19.903300,40.506734,-78.63904
Stanford,Stanford University,2025-10-24T01:07:19.903300,37.429434,-122.167359
Stephen F. Austin,Stephen F Austin State University,2025-10-24T01:07:19.903300,31.621056,-94.64908
Stony Brook,Stony Brook University,2025-10-24T01:07:19.903300,40.91476,-73.12046
Syracuse,Syracuse University,2025-10-24T01:07:19.903300,43.040176,-76.136975
TCU,Texas Christian University,2025-10-24T01:07:19.903300,32.70961,-97.364758
Tarleton State,Tarleton State University,2025-10-24T01:07:19.903300,32.214988,-98.214866
Temple,Temple University,2025-10-24T01:07:19.903300,39.980546,-75.156859
Tennessee,The University of Tennessee-Knoxville,2025-10-24T01:07:19.903300,35.952082,-83.925852
Tennessee State,Tennessee State University,2025-10-24T01:07:19.903300,36.166321,-86.828275
Tennessee Tech,Tennessee Technological University,2025-10-24T01:07:19.903300,36.174754,-85.504039
Tennessee-Martin,The University of Tennessee-Martin,2025-10-24T01:07:19.903300,36.340338,-88.864211
Texas,The University of Texas at Austin,2025-10-24T01:07:19.903300,30.282825,-97.738273
Texas A&M,Texas A & M University-College Station,2025-10-24T01:07:19.903300,30.618726,-96.336475
Texas A&M-Commerce,Texas A & M University-Commerce,2025-10-24T01:07:19.903300,33.243745,-95.908451
Texas Southern,Texas Southern University,2025-10-24T01:07:19.903300,29.721046,-95.361113
Texas State,Texas State University,2025-10-24T01:07:19.903300,29.888885,-97.943029
Texas Tech,Texas Tech University,2025-10-24T01:07:19.903300,33.583448,-101.874783
Toledo,University of Toledo,2025-10-24T01:07:19.903300,41.660572,-83.614714
Towson,Towson University,2025-10-24T01:07:19.903300,39.393622,-76.611164
Troy,Troy University,2025-10-24T01:07:19.903300,31.800672,-85.957094
Tulane,Tulane University of Louisiana,2025-10-24T01:07:19.903300,29.940069,-90.122144
Tulsa,University of Tulsa,2025-10-24T01:07:19.903300,36.152324,-95.945941
UAB,University of Alabama at Birmingham,2025-10-24T01:07:19.903300,33.505697,-86.799345
UC-Davis,University of California-Davis,2025-10-24T01:07:19.903300,38.539667,-121.749567
UCF,University of Central Florida,2025-10-24T01:07:19.903300,28.602159,-81.200889
UCLA,University of California-Los Angeles,2025-10-24T01:07:19.903300,34.07178,-118.442179
UL-Lafayette,University of Louisiana at Lafayette,2025-10-24T01:07:19.903300,30.212191,-92.020165
UL-Monroe,University of Louisiana at Monroe,2025-10-24T01:07:19.903300,32.527748,-92.07374
UNLV,University of Nevada-Las Vegas,2025-10-24T01:07:19.903300,36.106047,-115.138462
USC,University of Southern California,2025-10-24T01:07:19.903300,34.021281,-118.284169
USF,University of South Florida,2025-10-24T01:07:19.903300,28.061458,-82.413232
UTEP,The University of Texas at El Paso,2025-10-24T01:07:19.903300,31.77015,-106.504098
UTSA,The University of Texas at San Antonio,2025-10-24T01:07:19.903300,29.583709,-98.620657
Utah,University of Utah,2025-10-24T01:07:19.903300,40.762484,-111.846044
Utah State,Utah State University,2025-10-24T01:07:19.903300,41.740748,-111.81391
Utah Tech,Dixie State University,2025-10-24T01:07:19.903300,37.102769,-113.565903
Valparaiso,Valparaiso University,2025-10-24T01:07:19.903300,41.462239,-87.040172
Vanderbilt,Vanderbilt University,2025-10-24T01:07:19.903300,36.14659,-86.803369
Villanova,Villanova University,2025-10-24T01:07:19.903300,40.039388,-75.345457
Virginia,University of Virginia-Main Campus,2025-10-24T01:07:19.903300,38.035665,-78.503428
Virginia Military,Virginia Military Institute,2025-10-24T01:07:19.903300,37.7896,-79.437067
Virginia Tech,Virginia Polytechnic Institute and State University,2025-10-24T01:07:19.903300,37.229012,-80.423675
Wagner,Wagner College,2025-10-24T01:07:19.903300,40.615588,-74.092913
Wake Forest,Wake Forest University,2025-10-24T01:07:19.903300,36.133609,-80.277446
Washington,University of Washington-Seattle Campus,2025-10-24T01:07:19.903300,47.65538,-122.30514
Washington State,Washington State University,2025-10-24T01:07:19.903300,46.730448,-117.158168
Weber State,Weber State University,2025-10-24T01:07:19.903300,41.192591,-111.944845
West Virginia,West Virginia University,2025-10-24T01:07:19.903300,39.634371,-79.954391
Western Carolina,Western Carolina University,2025-10-24T01:07:19.903300,35.308979,-83.186258
Western Illinois,Western Illinois University,2025-10-24T01:07:19.903300,40.468086,-90.686899
Western Kentucky,Western Kentucky University,2025-10-24T01:07:19.903300,36.985035,-86.456828
Western Michigan,Western Michigan University,2025-10-24T01:07:19.903300,42.282194,-85.613759
Western New Mexico,Western New Mexico University,2025-10-24T01:07:19.903300,32.7767,-108.283284
William & Mary,William & Mary,2025-10-24T01:07:19.903300,37.269489,-76.708214
Wisconsin,University of Wisconsin-Madison,2025-10-24T01:07:19.903300,43.075409,-89.404098
Wofford,Wofford College,2025-10-24T01:07:19.903300,34.959411,-81.933568
Wyoming,University of Wyoming,2025-10-24T01:07:19.903300,41.311773,-105.57931
Yale,Yale University,2025-10-24T01:07:19.903300,41.311158,-72.926688
Youngstown State,Youngstown State University,2025-10-24T01:07:19.903300,41.104928,-80.64659
