season,week,date,time_et,game_type,away,home,rank_away,rank_home,conf_away,conf_home,neutral,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,total_yards_away,total_yards_home,fum_away,fum_home,int_away,int_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,possession_away,possession_home,attendance,tv,home_nces_name,home_lat,home_lon,away_nces_name,away_lat,away_lon,game_lat,game_lon,processed_time
2009,,2009-12-29,8:00 PM,post,Miami (FL),Wisconsin,15,25,acc,big10,True,14,20,7,0,0,7,0,7,10,0,3,0,14,17,2,11,6,14,0,3,0,0,16,30,213,19,26,268,23,61,42,170,249,430,1,2,0,1,3,20,6,60,12.33,23.83,,ESPN,University of Wisconsin-Madison,43.075409,-89.404098,University of Miami,25.72126,-80.278662,,,2025-10-25 15:33:50
2009,,2009-12-31,3:30 PM,post,Navy,Missouri,,,ind,big12,True,35,13,7,7,7,14,0,7,3,0,3,0,28,17,8,15,4,11,2,3,0,1,9,14,137,15,31,323,67,391,26,65,521,356,2,1,0,2,2,10,0,0,24.7,11.62,,ESPN,University of Missouri-Columbia,38.94531,-92.328843,United States Naval Academy,38.980507,-76.481692,,,2025-10-25 15:33:50
2009,,2010-01-01,1:00 PM,post,Penn State,LSU,13,12,big10,sec,True,19,17,7,6,3,3,0,0,3,7,7,0,21,9,7,19,3,12,0,0,0,0,18,35,227,13,24,219,40,124,25,41,340,243,0,2,0,1,2,10,10,64,23.32,13.17,,ABC,Louisiana State University and Agricultural & Mechanical College,30.414986,-91.178921,Pennsylvania State University-Main Campus,40.7965,-77.862848,,,2025-10-25 15:33:50
2009,,2010-01-01,1:00 PM,post,West Virginia,Florida State,16,,big-east,acc,True,21,33,14,0,0,7,0,3,10,10,10,0,18,24,4,11,7,14,1,2,0,0,9,19,163,17,24,189,38,207,46,225,314,414,0,0,1,0,3,29,7,69,13.55,22.63,,CBS,Florida State University,30.440756,-84.291921,West Virginia University,39.634371,-79.954391,,,2025-10-25 15:33:50
2009,,2010-01-02,12:00 PM,post,USF,Northern Illinois,,,big-east,mac,True,27,3,3,0,10,14,0,0,3,0,0,0,18,11,7,15,3,13,0,0,0,2,14,22,261,12,26,134,40,189,31,108,406,238,1,1,0,1,4,28,3,33,26.67,16.65,,ESPN2,Northern Illinois University,41.933869,-88.766428,University of South Florida,28.061458,-82.413232,,,2025-10-25 15:33:50
2009,,2010-01-02,2:00 PM,post,Oklahoma State,Ole Miss,19,,big12,sec,True,7,21,0,0,7,0,0,0,7,0,14,0,9,20,2,13,9,19,0,2,0,1,14,32,127,15,30,193,28,140,50,193,259,364,3,1,4,4,5,57,9,67,15.05,21.28,,FOX,University of Mississippi,34.365529,-89.537434,Oklahoma State University-Main Campus,36.123085,-97.069743,,,2025-10-25 15:33:50
2009,,2010-01-02,2:00 PM,post,South Carolina,Connecticut,,,sec,big-east,True,7,20,0,0,0,7,0,10,3,0,7,0,12,17,3,15,9,19,2,5,0,0,16,38,154,9,22,115,26,76,48,146,205,253,1,1,1,0,4,41,0,0,14.77,21.28,,ESPN,University of Connecticut,41.809098,-72.249948,University of South Carolina-Columbia,33.996788,-81.026935,,,2025-10-25 15:33:50
2009,,2010-01-04,8:00 PM,post,Boise State,TCU,6,4,wac,mwc,True,17,10,7,3,0,7,0,0,7,3,0,0,16,17,6,18,1,12,2,2,0,1,24,40,240,25,44,283,32,77,20,36,317,308,1,0,0,3,7,70,7,53,21.08,15,,FOX,Texas Christian University,32.70961,-97.364758,Boise State University,43.604284,-116.203301,,,2025-10-25 15:33:50
2010,1,2010-09-04,12:30 PM,regular,Illinois,Missouri,,,big10,big12,True,13,23,3,10,0,0,0,0,3,7,13,0,16,23,5,12,9,18,0,1,0,0,9,23,90,34,48,295,41,200,29,98,281,379,1,1,3,0,7,44,7,80,18.65,18.02,,,University of Missouri-Columbia,38.94531,-92.328843,University of Illinois at Urbana-Champaign,40.104718,-88.229114,,,2025-10-25 15:33:50
2010,1,2010-09-04,2:00 PM,regular,Colorado,Colorado State,,,big12,mwc,True,24,3,7,10,7,0,0,0,0,0,3,0,18,14,5,13,1,12,0,0,0,2,17,25,221,24,33,208,35,115,25,49,307,245,0,0,1,3,10,101,2,29,19.83,16.62,,,Colorado State University-Fort Collins,40.574805,-105.080732,University of Colorado Boulder,40.008781,-105.270823,,,2025-10-25 15:33:50
2010,1,2010-09-04,3:30 PM,regular,Texas,Rice,5,,big12,cusa,True,34,17,0,24,7,3,0,3,7,0,7,0,20,14,7,14,4,14,0,1,0,0,14,24,172,12,18,163,46,197,42,88,369,219,1,1,0,1,4,30,4,40,27.15,17.42,,ESPN3,Rice University,29.717897,-95.402035,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2010,1,2010-09-04,7:00 PM,regular,Louisiana Tech,Grambling State,,,wac,,True,20,6,7,10,0,3,0,3,0,3,0,0,20,18,4,13,4,14,0,1,0,0,23,31,212,15,25,175,38,140,37,102,336,260,1,0,0,2,9,70,8,52,16.95,19.72,,,Grambling State University,32.523797,-92.713245,Louisiana Tech University,32.528297,-92.649963,,,2025-10-25 15:33:50
2010,1,2010-09-04,7:45 PM,regular,Oregon State,TCU,24,6,pac12,mwc,True,21,30,7,7,7,0,0,7,14,7,2,0,13,28,4,11,11,17,1,1,0,0,10,26,188,17,27,181,25,73,54,278,255,453,0,0,0,2,4,30,6,45,12.2,23.53,,ESPN3,Texas Christian University,32.70961,-97.364758,Oregon State University,44.56395,-123.274723,,,2025-10-25 15:33:50
2010,1,2010-09-06,4:00 PM,regular,Navy,Maryland,,,ind,acc,True,14,17,0,7,7,0,0,14,0,0,3,0,26,11,10,18,1,5,1,2,0,0,6,10,78,2,5,22,72,412,34,261,485,272,2,1,0,1,5,35,4,30,23.78,12.32,,ESPN3,University of Maryland-College Park,38.988178,-76.944721,United States Naval Academy,38.980507,-76.481692,,,2025-10-25 15:33:50
2010,1,2010-09-06,8:00 PM,regular,Boise State,Virginia Tech,3,10,wac,acc,True,33,30,17,3,6,7,0,0,14,13,3,0,18,22,6,15,4,12,0,0,1,2,23,38,234,15,22,198,24,168,44,128,383,314,2,1,0,0,11,105,7,75,15.28,20.32,,ESPN3,Virginia Polytechnic Institute and State University,37.229012,-80.423675,Boise State University,43.604284,-116.203301,,,2025-10-25 15:33:50
2010,2,2010-09-11,12:00 PM,regular,Michigan State,Florida Atlantic,,,big10,sun-belt,True,30,17,10,10,7,3,0,7,0,7,3,0,17,20,1,7,7,16,0,0,2,2,9,17,153,24,37,271,30,225,34,45,367,301,1,1,1,0,4,43,10,70,13.35,22.23,,ESPNU,Florida Atlantic University,26.372421,-80.102978,Michigan State University,42.73212,-84.476111,,,2025-10-25 15:33:50
2010,2,2010-09-11,7:00 PM,regular,Arkansas,UL-Monroe,14,,sec,sun-belt,True,31,7,7,0,7,17,0,0,0,0,7,0,26,10,6,14,3,14,1,4,1,1,28,43,407,8,19,89,31,99,37,116,499,188,2,1,1,1,6,46,8,70,19.85,16.82,,ESPN3,University of Louisiana at Monroe,32.527748,-92.07374,University of Arkansas,36.070009,-94.176981,,,2025-10-25 15:33:50
2010,3,2010-09-18,12:00 PM,regular,Iowa State,Kansas State,,,big12,big12,True,20,27,0,7,10,3,0,3,7,7,10,0,20,24,5,15,4,9,3,4,0,1,15,28,132,6,12,112,40,171,50,262,293,366,1,0,0,1,8,64,4,37,19.47,17.2,,,Kansas State University,39.188648,-96.581077,Iowa State University,42.026212,-93.648504,,,2025-10-25 15:33:50
